frame,fingers,maxContourArea,centerX,centerY,convexDefects,avgAngle,fps,usedMemoryMB,cpuLoad,gesture
158,2,25085.00,390.78,204.77,7,78.10,111.11,63.04,0.0395,Peace
159,2,25069.00,391.15,205.84,6,68.18,100.00,65.04,0.0395,Peace
160,2,25315.00,390.08,207.34,6,75.16,100.00,65.04,0.0365,Peace
161,1,25355.50,390.20,207.51,6,0.00,100.00,65.92,0.0365,Thumbs Up
162,2,25257.50,389.90,206.86,6,84.21,100.00,66.80,0.0365,Rock
163,2,27568.50,104.57,388.76,4,38.33,100.00,68.91,0.0415,Rock
164,1,25234.50,390.38,208.72,6,0.00,100.00,68.91,0.0415,Thumbs Up
165,2,25332.50,390.19,207.98,6,76.95,90.91,69.79,0.0415,Peace
166,1,25015.00,389.54,208.32,6,0.00,100.00,70.80,0.0336,Thumbs Up
167,2,25130.50,390.64,207.63,6,76.17,90.91,71.92,0.0336,Rock
168,2,25862.00,389.46,209.71,6,82.21,90.91,72.80,0.0336,Rock
169,2,25796.00,389.79,208.16,7,83.07,100.00,73.67,0.0423,Peace
170,2,25412.00,390.40,208.20,6,78.69,100.00,74.55,0.0423,Rock
171,2,25705.00,390.29,208.51,6,78.34,100.00,75.92,0.0423,Rock
172,1,25676.50,389.38,209.85,6,0.00,100.00,76.80,0.0506,Thumbs Up
173,1,24869.50,389.74,207.67,6,0.00,100.00,77.67,0.0506,Thumbs Up
174,2,24895.00,390.22,206.93,6,80.30,90.91,78.55,0.0506,Rock
175,1,24772.50,388.68,209.31,6,0.00,100.00,79.43,0.0380,Thumbs Up
176,1,25117.00,388.37,208.68,7,0.00,100.00,80.31,0.0380,Thumbs Up
177,1,24789.50,387.69,209.75,6,0.00,100.00,81.19,0.0380,Thumbs Up
178,2,24928.00,388.01,208.74,7,83.14,100.00,82.55,0.0318,Rock
179,1,24972.00,388.47,209.04,6,0.00,100.00,83.43,0.0318,Thumbs Up
180,2,25097.50,388.02,208.91,7,78.86,90.91,85.43,0.0318,Rock
181,2,24610.00,388.29,209.81,6,77.62,100.00,85.43,0.0413,Rock
182,2,24783.50,388.65,208.41,7,82.50,100.00,86.55,0.0413,Rock
183,2,24977.50,387.24,209.99,7,81.59,100.00,87.43,0.0413,Rock
184,2,24754.50,387.67,209.80,6,74.16,100.00,89.43,0.0322,Rock
185,1,24885.00,388.71,208.83,6,0.00,90.91,89.43,0.0322,Thumbs Up
186,1,25041.00,388.14,209.18,8,0.00,100.00,90.55,0.0322,Thumbs Up
187,2,25108.50,388.63,208.76,7,79.89,100.00,91.55,0.0602,Rock
188,3,25130.00,388.18,209.84,6,76.38,100.00,93.55,0.0602,OK
189,1,25142.00,389.19,210.15,6,0.00,100.00,93.55,0.0602,Thumbs Up
190,1,24405.00,389.06,207.83,7,0.00,100.00,94.67,0.0321,Thumbs Up
191,1,24486.50,389.45,208.24,6,0.00,100.00,95.55,0.0321,Thumbs Up
192,1,25609.50,389.11,210.18,6,0.00,100.00,97.55,0.0321,Thumbs Up
193,1,25944.50,390.16,208.62,7,0.00,100.00,97.55,0.0387,Thumbs Up
194,1,25437.00,389.69,209.23,6,0.00,100.00,98.67,0.0387,Thumbs Up
195,1,25042.00,388.04,209.46,7,0.00,100.00,99.55,0.0387,Thumbs Up
196,1,25071.00,388.80,209.57,6,0.00,100.00,101.55,0.0311,Thumbs Up
197,2,24849.00,389.76,208.28,6,79.91,100.00,101.55,0.0311,Rock
198,2,25306.00,389.73,207.64,6,79.99,90.91,102.67,0.0311,Rock
199,1,25582.00,388.89,209.48,7,0.00,100.00,103.55,0.0419,Thumbs Up
200,2,26469.50,389.42,209.78,6,81.18,100.00,105.55,0.0419,Peace
201,1,26888.50,389.42,210.03,7,0.00,100.00,105.55,0.0419,Thumbs Up
202,2,27463.50,388.40,212.18,7,83.41,100.00,106.67,0.0338,Rock
203,1,25565.00,389.19,208.85,7,0.00,100.00,107.55,0.0338,Thumbs Up
204,2,25203.00,389.14,209.10,6,71.74,100.00,109.55,0.0338,Rock
205,2,25382.50,389.24,208.34,7,77.76,100.00,109.55,0.0396,Peace
206,1,25581.00,389.07,208.70,7,0.00,100.00,110.67,0.0396,Thumbs Up
207,2,25034.00,389.00,208.26,6,75.92,100.00,111.55,0.0396,Rock
208,2,25996.00,389.15,209.36,6,75.69,100.00,113.55,0.0310,Rock
209,2,26129.00,389.12,208.87,8,71.05,90.91,113.55,0.0310,Rock
210,2,26043.00,389.57,208.41,7,82.13,100.00,114.67,0.0310,Rock
211,1,25554.50,390.09,208.44,7,0.00,100.00,115.55,0.0429,Thumbs Up
212,2,25876.00,390.26,208.63,7,77.01,100.00,117.55,0.0429,Rock
